postcode,lsoa_2021_code,pna_locality,local_authority
DT101HD,E01020449,North,Dorset
DT101HF,E01020449,North,Dorset
DT101HG,E01020449,North,Dorset
DT101HH,E01020449,North,Dorset
DT101HJ,E01020449,North,Dorset
DT101HL,E01020449,North,Dorset
DT101HN,E01020449,North,Dorset
DT101HP,E01020449,North,Dorset
DT101HQ,E01020449,North,Dorset
DT101HR,E01020449,North,Dorset
DT101HS,E01020449,North,Dorset
DT101HW,E01020449,North,Dorset
DT101JJ,E01020449,North,Dorset
DT101JL,E01020449,North,Dorset
DT101JN,E01020449,North,Dorset
DT101JP,E01020449,North,Dorset
DT101JR,E01020449,North,Dorset
DT101JS,E01020449,North,Dorset
DT101JT,E01020449,North,Dorset
DT101JU,E01020449,North,Dorset
DT101JW,E01020449,North,Dorset
DT101JX,E01020449,North,Dorset
DT101JY,E01020449,North,Dorset
DT101JZ,E01020449,North,Dorset
DT101LA,E01020449,North,Dorset
DT101LB,E01020449,North,Dorset
DT101LD,E01020449,North,Dorset
DT101LE,E01020449,North,Dorset
DT101LF,E01020449,North,Dorset
DT101LG,E01020449,North,Dorset
DT101LH,E01020449,North,Dorset
DT101LJ,E01020449,North,Dorset
DT101LL,E01020449,North,Dorset
DT101LN,E01020449,North,Dorset
DT101LP,E01020449,North,Dorset
DT101LQ,E01020449,North,Dorset
DT101NH,E01020449,North,Dorset
DT101NJ,E01020449,North,Dorset
DT101NL,E01020449,North,Dorset
DT101NN,E01020449,North,Dorset
DT101NP,E01020449,North,Dorset
DT101NQ,E01020449,North,Dorset
DT101NR,E01020449,North,Dorset
DT101NS,E01020449,North,Dorset
DT101NT,E01020449,North,Dorset
DT101NU,E01020449,North,Dorset
DT101NW,E01020449,North,Dorset
DT101NX,E01020449,North,Dorset
DT101NY,E01020449,North,Dorset
DT101NZ,E01020449,North,Dorset
DT101PA,E01020449,North,Dorset
DT101PH,E01020449,North,Dorset
DT101PJ,E01020449,North,Dorset
DT101PL,E01020449,North,Dorset
DT101PN,E01020449,North,Dorset
DT101PP,E01020449,North,Dorset
DT101PR,E01020449,North,Dorset
DT101PS,E01020449,North,Dorset
DT101PT,E01020449,North,Dorset
DT101PU,E01020449,North,Dorset
DT101PW,E01020449,North,Dorset
DT101PX,E01020449,North,Dorset
DT101PY,E01020449,North,Dorset
DT101PZ,E01020449,North,Dorset
DT101QA,E01020449,North,Dorset
DT101QB,E01020449,North,Dorset
DT101QD,E01020449,North,Dorset
DT101QE,E01020449,North,Dorset
DT101QF,E01020449,North,Dorset
DT101QG,E01020449,North,Dorset
DT101QQ,E01020449,North,Dorset
DT102AF,E01020433,North,Dorset
DT102AG,E01020433,North,Dorset
DT102AW,E01020441,North,Dorset
DT102AX,E01020433,North,Dorset
DT102AY,E01020433,North,Dorset
DT102AZ,E01020433,North,Dorset
DT102BA,E01020433,North,Dorset
DT102BB,E01020433,North,Dorset
DT102BE,E01020433,North,Dorset
DT102BG,E01020433,North,Dorset
DT102BU,E01020441,North,Dorset
DT102BX,E01020441,North,Dorset
DT102BY,E01020441,North,Dorset
DT102DW,E01020433,North,Dorset
DT102HH,E01020433,North,Dorset
DT102HU,E01020433,North,Dorset
DT102HX,E01020433,North,Dorset
DT102HY,E01020433,North,Dorset
DT102HZ,E01020433,North,Dorset
DT102JA,E01020433,North,Dorset
DT102JB,E01020433,North,Dorset
DT102JD,E01020433,North,Dorset
DT102JE,E01020433,North,Dorset
DT102JF,E01020433,North,Dorset
DT102JG,E01020433,North,Dorset
DT102JH,E01020433,North,Dorset
DT102JJ,E01020433,North,Dorset
DT102JL,E01020433,North,Dorset
DT102JN,E01020433,North,Dorset
DT102JP,E01020433,North,Dorset
DT102JR,E01020433,North,Dorset
DT102JS,E01020433,North,Dorset
DT102JT,E01020433,North,Dorset
DT102JU,E01020433,North,Dorset
DT102JW,E01020433,North,Dorset
DT102JX,E01020433,North,Dorset
DT102JY,E01020433,North,Dorset
DT102JZ,E01020433,North,Dorset
DT102LA,E01020433,North,Dorset
DT102LB,E01020433,North,Dorset
DT102LS,E01020433,North,Dorset
DT102LU,E01020433,North,Dorset
DT102NP,E01020433,North,Dorset
DT102NR,E01020433,North,Dorset
DT102NT,E01020433,North,Dorset
DT102NU,E01020433,North,Dorset
DT102NW,E01020433,North,Dorset
DT102NY,E01020433,North,Dorset
DT102NZ,E01020433,North,Dorset
DT102PB,E01020433,North,Dorset
DT102PE,E01020433,North,Dorset
DT102PF,E01020433,North,Dorset
DT102PG,E01020433,North,Dorset
DT102RH,E01020433,North,Dorset
DT102RJ,E01020433,North,Dorset
DT102RN,E01020433,North,Dorset
DT102RQ,E01020433,North,Dorset
DT102RR,E01020433,North,Dorset
DT102RS,E01020433,North,Dorset
DT102RT,E01020433,North,Dorset
DT102RU,E01020433,North,Dorset
DT102SA,E01020433,North,Dorset
DT102SD,E01020433,North,Dorset
DT102SF,E01020433,North,Dorset
DT102SG,E01020433,North,Dorset
DT102SH,E01020433,North,Dorset
DT102SJ,E01020433,North,Dorset
DT102SL,E01020433,North,Dorset
DT102SN,E01020433,North,Dorset
DT102SQ,E01020433,North,Dorset
DT102SW,E01020433,North,Dorset
DT110DH,E01020441,North,Dorset
DT110DZ,E01020441,North,Dorset
DT110EA,E01020441,North,Dorset
DT110EB,E01020441,North,Dorset
DT110ED,E01020441,North,Dorset
DT110EE,E01020441,North,Dorset
DT110EF,E01020441,North,Dorset
DT110EG,E01020441,North,Dorset
DT110EH,E01020441,North,Dorset
DT110EJ,E01020441,North,Dorset
DT110EL,E01020441,North,Dorset
DT110EN,E01020441,North,Dorset
DT110EQ,E01020441,North,Dorset
DT110LU,E01020441,North,Dorset
DT110LY,E01020441,North,Dorset
DT110LZ,E01020441,North,Dorset
DT110NA,E01020441,North,Dorset
DT110NB,E01020441,North,Dorset
DT110ND,E01020441,North,Dorset
DT110NE,E01020441,North,Dorset
DT110NF,E01020441,North,Dorset
DT110NG,E01020441,North,Dorset
DT110NH,E01020441,North,Dorset
DT110NJ,E01020441,North,Dorset
DT110NL,E01020441,North,Dorset
DT110NN,E01020441,North,Dorset
DT110NP,E01020441,North,Dorset
DT110NQ,E01020441,North,Dorset
DT110NR,E01020441,North,Dorset
DT110NS,E01020441,North,Dorset
DT110NT,E01020441,North,Dorset
DT110NU,E01020441,North,Dorset
DT110NW,E01020441,North,Dorset
DT110NX,E01020441,North,Dorset
DT110NY,E01020441,North,Dorset
DT110PD,E01020441,North,Dorset
DT110PE,E01020441,North,Dorset
DT110PF,E01020441,North,Dorset
DT110PG,E01020441,North,Dorset
DT110RB,E01020441,North,Dorset
DT110RD,E01020441,North,Dorset
DT110RE,E01020441,North,Dorset
DT110RF,E01020441,North,Dorset
DT110RG,E01020441,North,Dorset
DT110RJ,E01020441,North,Dorset
DT110RL,E01020441,North,Dorset
DT110RN,E01020441,North,Dorset
DT110RP,E01020441,North,Dorset
DT110RQ,E01020441,North,Dorset
DT110RR,E01020441,North,Dorset
DT110RS,E01020441,North,Dorset
DT110RT,E01020441,North,Dorset
DT110RU,E01020441,North,Dorset
DT110RW,E01020441,North,Dorset
DT110RX,E01020441,North,Dorset
DT110RY,E01020441,North,Dorset
DT110SB,E01020441,North,Dorset
DT9 5JF,E01020433,North,Dorset
DT9 5JY,E01020433,North,Dorset
BA8 0SB,E01020433,North,Dorset
BA8 0SD,E01020433,North,Dorset
BH215AG,E01020396,North,Dorset
BH215AH,E01020396,North,Dorset
BH215AJ,E01020396,North,Dorset
BH215AL,E01020396,North,Dorset
BH215AN,E01020396,North,Dorset
BH215AP,E01020396,North,Dorset
BH215AR,E01020396,North,Dorset
BH215AS,E01020396,North,Dorset
BH215AT,E01020396,North,Dorset
BH215AU,E01020396,North,Dorset
BH215AW,E01020396,North,Dorset
BH215AZ,E01020396,North,Dorset
BH215BA,E01020396,North,Dorset
BH215BB,E01020396,North,Dorset
BH215BD,E01020396,North,Dorset
BH215BE,E01020396,North,Dorset
BH215BG,E01020396,North,Dorset
BH215BH,E01020396,North,Dorset
BH215BJ,E01020396,North,Dorset
BH215BL,E01020396,North,Dorset
BH215BN,E01020396,North,Dorset
BH215BP,E01020396,North,Dorset
BH215BQ,E01020396,North,Dorset
BH215BS,E01020396,North,Dorset
BH215BT,E01020396,North,Dorset
BH215BU,E01020396,North,Dorset
BH215BW,E01020396,North,Dorset
BH215BY,E01020396,North,Dorset
BH215DR,E01020396,North,Dorset
BH215DS,E01020396,North,Dorset
BH215DT,E01020396,North,Dorset
BH215DU,E01020396,North,Dorset
BH215DX,E01020396,North,Dorset
BH215DY,E01020396,North,Dorset
BH215DZ,E01020396,North,Dorset
BH215EA,E01020396,North,Dorset
BH215EB,E01020396,North,Dorset
BH215ER,E01020396,North,Dorset
BH215ES,E01020396,North,Dorset
BH215ET,E01020396,North,Dorset
BH215EU,E01020396,North,Dorset
BH215EX,E01020396,North,Dorset
BH215EZ,E01020396,North,Dorset
BH215HA,E01020396,North,Dorset
BH215HB,E01020396,North,Dorset
BH215HD,E01020396,North,Dorset
BH215HE,E01020396,North,Dorset
BH215HG,E01020396,North,Dorset
BH215HH,E01020396,North,Dorset
BH215HQ,E01020396,North,Dorset
BH215HX,E01020396,North,Dorset
BH215HY,E01020396,North,Dorset
BH215HZ,E01020396,North,Dorset
BH215JA,E01020396,North,Dorset
BH215JD,E01020396,North,Dorset
BH215JE,E01020396,North,Dorset
BH215JF,E01020396,North,Dorset
BH215JG,E01020396,North,Dorset
BH215JU,E01020396,North,Dorset
BH215JX,E01020396,North,Dorset
BH215JY,E01020396,North,Dorset
BH215JZ,E01020396,North,Dorset
BH215LA,E01020396,North,Dorset
BH215LB,E01020396,North,Dorset
BH215LD,E01020396,North,Dorset
BH215LE,E01020396,North,Dorset
BH215LF,E01020396,North,Dorset
BH215LT,E01020396,North,Dorset
BH215LU,E01020396,North,Dorset
BH215NP,E01020396,North,Dorset
SP5 5RY,E01020396,North,Dorset
SP8 5AE,E01020440,North,Dorset
SP8 5AF,E01020440,North,Dorset
SP8 5AG,E01020440,North,Dorset
SP8 5AH,E01020440,North,Dorset
SP8 5AJ,E01020440,North,Dorset
SP8 5AL,E01020440,North,Dorset
SP8 5AN,E01020440,North,Dorset
SP8 5AP,E01020440,North,Dorset
SP8 5AQ,E01020440,North,Dorset
SP8 5AR,E01020440,North,Dorset
SP8 5AT,E01020440,North,Dorset
SP8 5AU,E01020440,North,Dorset
SP8 5AW,E01020440,North,Dorset
SP8 5AX,E01020440,North,Dorset
SP8 5AY,E01020440,North,Dorset
SP8 5AZ,E01020440,North,Dorset
SP8 5BA,E01020440,North,Dorset
SP8 5BB,E01020440,North,Dorset
SP8 5BD,E01020440,North,Dorset
SP8 5BE,E01020440,North,Dorset
SP8 5BG,E01020440,North,Dorset
SP8 5BH,E01020440,North,Dorset
SP8 5BJ,E01020440,North,Dorset
SP8 5BL,E01020440,North,Dorset
